,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
1431,60071731,80133002,URC5,1,Rider
1432,60072008,80132505,UL05,1,Base
1433,60072008,80132505,URC6,1,Rider
1434,60072008,80132505,URA5,1,Rider
1435,60072008,80132505,RHB1,1,Rider
1436,60072008,80132505,URC5,1,Rider
1437,60076139,80133037,UL05,1,Base
1438,60062463,80132796,URA5,1,Rider
1439,60062463,80132796,RHB1,1,Rider
1440,60062463,80132796,UL05,1,Base
1441,60072044,80132076,RHB1,1,Rider
1442,60072044,80132076,UL05,1,Base
1443,60072044,80132076,URA5,1,Rider
1444,60072044,80132076,URC5,1,Rider
1445,60075659,80132433,URW5,1,Rider
1446,60075659,80132433,URC5,1,Rider
1447,60075659,80132433,UL05,1,Base
1448,60075659,80132433,RHB1,1,Rider
1449,60075659,80132433,URA5,1,Rider
1450,60059409,80132658,UL06,1,Base
1451,60059409,80132658,URA5,1,Rider
1452,60059409,80132658,URT5,1,Rider
1453,60075459,80133051,UL82,1,Base
1454,60075459,80133051,RHB1,1,Rider
1455,60075459,80133051,RHS1,1,Rider
1456,60075459,80133051,URA8,1,Rider
1457,60075459,80133051,URL8,1,Rider
1458,60075459,80133051,URC8,1,Rider
1459,60074570,80131431,UL05,1,Base
1460,60074570,80131431,URW5,1,Rider
1461,60074570,80131431,URA5,1,Rider
1462,60070508,80132549,URA5,1,Rider
1463,60070508,80132549,UL06,1,Base
1464,60040986,80132305,URC5,1,Rider
1465,60040986,80132305,RHB1,1,Rider
1466,60040986,80132305,URT5,1,Rider
1467,60040986,80132305,RHS1,1,Rider
1468,60040986,80132305,URC6,1,Rider
1469,60040986,80132305,URA5,1,Rider
1470,60040986,80132305,UL05,1,Base
1471,60075804,80132395,RHB1,1,Rider
1472,60075804,80132395,RHS1,1,Rider
1473,60075804,80132395,UL05,1,Base
1474,60075804,80132395,URA5,1,Rider
1475,60072421,80132516,UL05,1,Base
1476,60072421,80132516,RHB1,1,Rider
